ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重
1,01:03.6,01:03.6,0.2,5:18,,144,164,,6,,,,,173,285,左 49.3%／右 50.7%,1.05,8.4,7.2,13,,4:50,192,0:57,4:45,169,76
2,01:02.9,02:06.5,0.2,5:15,,169,172,7,,,,,,174,280,左 50.9%／右 49.1%,1.13,8.8,7.6,16,,4:49,177,01:02.9,5:15,169,76
3,01:08.7,03:15.2,0.2,5:44,,177,179,,8,,,,,170,285,左 51.2%／右 48.8%,1.04,9.5,8.9,16,,5:21,173,01:08.7,5:43,169,76
4,01:13.2,04:28.4,0.2,6:06,,175,178,12,5,,,,,167,288,左 51.5%／右 48.5%,0.99,9.8,9.7,19,,5:48,170,1:13,6:05,169,76
5,01:10.9,05:39.3,0.2,5:54,,174,176,,6,,,,,167,289,左 51.8%／右 48.3%,0.99,9.6,9.5,17,,6:00,169,01:10.9,5:54,169,76
6,01:18.5,06:57.8,0.2,6:32,,171,173,8,7,,,,,166,291,左 51.5%／右 48.5%,0.96,9.6,9.8,20,,6:01,168,01:18.5,6:32,169,76
7,01:17.5,08:15.3,0.2,6:28,,172,173,9,,,,,,166,290,左 51.3%／右 48.7%,0.93,9.3,9.8,18,,6:21,168,1:17,6:25,169,76
8,01:25.7,09:41.0,0.2,7:09,,169,172,,9,,,,,167,292,左 51.1%／右 48.9%,0.87,9.1,10.3,21,,6:37,170,01:25.7,7:09,169,76
9,01:18.1,10:59,0.2,6:31,,169,171,11,3,,,,,165,291,左 51.2%／右 48.8%,0.92,9.4,10,19,,6:37,167,1:18,6:30,169,76
10,01:22.6,12:22,0.2,6:53,,169,171,,9,,,,,165,294,左 51.1%／右 48.9%,0.91,9.4,10.1,20,,6:35,167,01:22.6,6:53,169,76
11,01:18.0,13:40,0.2,6:30,,167,171,9,,,,,,166,292,左 50.9%／右 49.1%,0.93,8.9,9.4,19,,6:33,168,01:18.0,6:30,169,76
12,01:28.2,15:08,0.2,7:21,,167,169,,11,,,,,165,295,左 50.8%／右 49.2%,0.85,9.2,10.7,20,,6:41,167,1:28,7:20,169,76
13,01:21.6,16:30,0.2,6:48,,169,171,11,4,,,,,168,294,左 51.1%／右 48.9%,0.91,9.2,9.9,20,,6:27,171,1:21,6:45,169,76
14,01:10.1,17:40,0.2,5:50,,173,178,,6,,,,,172,288,左 51.3%／右 48.7%,0.96,9,9.3,16,,5:52,175,01:10.1,5:50,169,76
15,01:10.3,18:50,0.2,5:52,,179,183,8,7,,,,,174,282,左 51.8%／右 48.2%,1.02,8.9,8.5,18,,5:27,176,1:10,5:50,169,76
16,00:01.8,18:52,0.01,3:34,,183,183,,,,,,,172,285,左 51.9%／右 48.1%,1.06,9.2,8.5,0,,5:27,172,0:01,2:00,169,76
